Station,fx,fy,fz,Latitude,Longitude,Zone,Postcode,Zone_original
St Pancras,530122,182959,0,51.5305542,-0.125505781,1,NW1 2QP,1
St. James's Park,529629,179503,0,51.49960957772610,-0.133878754,1,SW1H 0BD,1
St. Johns Wood,526742,183352,0,51.53485412839330,-0.174064839,2,NW8 6DN,2
St. Pauls,532105,181261,0,51.514835138739900,-0.097571,1,EC2V 6AA,1
Stamford Brook,521913,178738,0,51.49444956856970,-0.245246306,2,W6 0SB,2
Stamford Hill,533381,187928,0,51.57444748083400,-0.076668342,3,N16 5AG,3
Stanmore,517574,192569,0,51.619672950483600,-0.303099288,5,HA7 4PD,5
Star Lane,539148,182091,0,51.52060426064490,0.004191003,3,E16 4SR,3
Stepney Green,535566,182149,0,51.521995758615500,-0.047382523,2,E1 4AQ,2
Stockwell,530473,176470,0,51.47215905711560,-0.122846303,2,SW9 9AE,2
Stoke Newington,533710,186845,0,51.56463749414500,-0.072335394,2,N16 6YA,2
Stonebridge Park,519690,184197,0,51.54398610565640,-0.275400437,3,NW10 0RW,3
Stoneleigh,522021,164155,0,51.363363646997900,-0.248709653,5,KT17 2JA,5
Stratford,538533,184421,0,51.54169257587400,-0.003751641,3,E15 1AZ,3
Stratford High Street,538729,184032,0,51.53814895,-0.001080356,3,E15 3PA,3
Stratford International,538175,184758,0,51.54480852,-0.008778434,3,E15 2LZ,3
Strawberry Hill,515500,172502,0,51.439747278051900,-0.339617724,5,TW1 4PP,5
Streatham,529946,171303,0,51.425845648377400,-0.132325496,3,SW16 6HP,3
Streatham Common,529729,170534,0,51.41898445090680,-0.135726164,3,SW16 5NT,3
Streatham Hill,530233,172714,0,51.43846015875230,-0.127681481,3,SW2 4PA,3
Sudbury and Harrow Road,516853,185300,0,51.55449327,-0.315926236,4,HA0 2HA,4
Sudbury Hill,515427,185584,0,51.55733901102980,-0.336392109,4,HA1 3RA,4
Sudbury Hill Harrow,515490,185697,0,51.55834172569070,-0.335446687,4,HA1 3RJ,4
Sudbury Town,516832,184955,0,51.55139692710830,-0.31634348,4,HA0 2LA,4
Sundridge Park,540599,170200,0,51.413393835270500,0.020365109,4,BR1 3TR,4
Surbiton,518070,167315,0,51.39259904,-0.304384554,6,KT6 4PE,6
Surrey Quays,535641,178954,0,51.49326678162280,-0.047529988,2,SE16 2UE,2
Sutton,526028,163823,0,51.35950582407130,-0.191302009,5,SM1 1JA,5
Sutton Common,525593,165598,0,51.375554374568200,-0.19691991,4,SM1 3HY,4
Swiss Cottage,526611,184259,0,51.54303456,-0.175626603,2,NW3 6HY,2
Sydenham,535311,171609,0,51.42734116410620,-0.055088671,3,SE26 5EU,3
Sydenham Hill,533548,172145,0,51.432575758635600,-0.080230208,3,SE21 7HW,3
Syon Lane,516306,177163,0,51.481474155405600,-0.326495028,4,TW7 5NT,4
Tadworth,523097,156199,0,51.29162747942280,-0.236008013,6,KT20 5SP,6
Taplow,491579,181340,0,51.52356084157690,-0.681384851,9,SL6 0NU,
Tattenham Corner,522593,158140,0,51.30918092,-0.242566269,6,KT18 5PR,6
Teddington,516019,170817,0,51.424496954268100,-0.332705331,6,TW11 9AA,6
Temple,530995,180810,0,51.51104042360470,-0.11372575,1,WC2R 2PH,1
Thames Ditton,515721,166818,0,51.388615519946200,-0.338292831,6,KT7 0PA,6
Theobalds Grove,535933,201119,0,51.69237253480550,-0.034748134,7,EN8 7BG,7
Therapia Lane,530290,166843,0,51.385685581839300,-0.129017106,3,CR0 3DD,"3,4,5,6"
Theydon Bois,545509,199180,0,51.67255225,0.10289073688168200,6,CM16 7EU,6
Thornton Heath,532242,168317,0,51.398480916027200,-0.100433165,4,CR7 8RX,4
Tolworth,519834,165603,0,51.37684286,-0.27962011,5,KT5 9NU,5
